,PageCount,INTcount,EXTcount,URLfragments,TimeStamp
0,1,23,5,18,2021-11-13T15:04:00
1,2,80,11,34,2021-09-28T07:42:00
2,3,21,10,10,2021-08-15T07:55:00
3,4,35,4,18,2021-09-22T04:32:00
4,5,21,0,2,2020-12-11T16:14:00
5,6,48,0,2,2021-11-13T11:52:00
6,7,21,10,10,2021-08-15T07:55:00
7,8,35,0,2,2021-02-06T09:50:00
8,9,11,0,2,2019-08-13T16:46:00
9,10,645,87,190,2021-11-28T04:18:00
10,11,91,0,11,2021-08-17T03:29:00
11,12,54,0,6,2021-09-10T20:36:00
12,13,21,0,6,2017-03-29T23:40:00
13,14,162,5,24,2021-06-30T17:01:00
14,15,53,1,4,2021-06-22T20:50:00
15,16,34,3,2,2018-06-05T07:45:00
16,17,587,78,88,2021-12-07T09:07:00
17,18,26,2,8,2021-09-26T09:55:00
18,19,162,5,24,2021-06-30T17:01:00
19,20,118,5,21,2021-07-09T09:38:00
20,21,60,6,3,2021-10-04T16:33:00
21,22,78,4,6,2021-03-25T00:38:00
22,23,12,0,2,2020-04-01T11:50:00
23,24,587,78,88,2021-12-07T09:07:00
24,25,3,38,7,None
25,26,587,78,88,2021-12-07T09:07:00
26,27,72,3,7,2021-01-19T00:05:00
27,28,21,4,11,2021-01-26T21:21:00
28,29,162,5,24,2021-06-30T17:01:00
29,30,213,2,4,2019-12-17T04:11:00
30,31,110,9,46,2021-06-15T04:58:00
31,32,7,1,2,2013-03-08T05:39:00
32,33,162,5,24,2021-06-30T17:01:00
33,34,8,101,8,None
34,35,6,89,7,None
35,36,61,18,3,2021-11-22T14:11:00
36,37,96,5,12,2021-12-05T08:22:00
37,38,51,15,34,2021-09-30T14:52:00
38,39,6,103,10,None
39,40,162,5,24,2021-06-30T17:01:00
40,41,8,0,2,2013-03-12T19:05:00
41,42,587,78,88,2021-12-07T09:07:00
42,43,8,0,2,2013-03-12T19:05:00
43,44,162,5,24,2021-06-30T17:01:00
44,45,6,88,7,None
45,46,61,18,3,2021-11-22T14:11:00
46,47,21,2,2,2013-03-31T08:41:00
47,48,61,18,3,2021-11-22T14:11:00
48,49,162,5,24,2021-06-30T17:01:00
49,50,23,8,10,2021-09-01T16:20:00
50,51,8,0,2,2013-07-24T09:35:00
51,52,6,89,7,None
52,53,162,5,24,2021-06-30T17:01:00
53,54,66,8,16,2021-11-09T19:55:00
54,55,24,0,2,2020-04-22T17:36:00
55,56,162,5,24,2021-06-30T17:01:00
56,57,99,0,2,2018-06-19T15:01:00
57,58,12,0,2,2020-04-01T11:50:00
58,59,587,78,88,2021-12-07T09:07:00
59,60,94,2,2,2013-03-13T05:34:00
60,61,81,18,29,2021-05-28T03:55:00
61,62,386,5,7,2021-10-29T17:32:00
62,63,110,23,40,2021-09-02T10:12:00
63,64,74,0,3,2019-10-08T13:41:00
64,65,48,0,10,2018-06-27T18:23:00
65,66,51,15,34,2021-09-30T14:52:00
66,67,17,1,2,2021-01-12T12:59:00
67,68,61,18,3,2021-11-22T14:11:00
68,69,220,1,7,2013-03-23T16:48:00
69,70,99,4,4,2019-12-27T02:09:00
70,71,40,2,2,2015-08-17T00:25:00
71,72,34,15,7,2021-05-28T13:29:00
72,73,8,0,2,2013-07-24T09:35:00
73,74,587,78,88,2021-12-07T09:07:00
74,75,24,0,2,2020-04-22T17:36:00
75,76,6,89,7,None
76,77,57,4,12,2020-04-12T02:17:00
77,78,51,15,34,2021-09-30T14:52:00
78,79,116,10,21,2021-09-23T16:16:00
79,80,62,8,8,2021-04-28T13:54:00
80,81,51,15,34,2021-09-30T14:52:00
81,82,220,1,7,2013-03-23T16:48:00
82,83,55,12,14,2021-09-26T08:42:00
83,84,61,18,3,2021-11-22T14:11:00
84,85,13,0,3,2012-11-10T07:53:00
85,86,34,15,7,2021-05-28T13:29:00
86,87,116,10,21,2021-09-23T16:16:00
87,88,22,1,3,2019-04-26T12:07:00
88,89,348,17,6,2021-08-20T16:15:00
89,90,20,0,2,2014-01-29T04:57:00
90,91,162,5,24,2021-06-30T17:01:00
91,92,110,9,46,2021-06-15T04:58:00
92,93,62,8,8,2021-04-28T13:54:00
93,94,348,17,6,2021-08-20T16:15:00
94,95,17,1,2,2021-01-12T12:59:00
95,96,162,5,24,2021-06-30T17:01:00
96,97,58,2,12,2021-10-12T15:02:00
97,98,57,4,12,2020-04-12T02:17:00
98,99,348,17,6,2021-08-20T16:15:00
99,100,74,1,4,2018-08-28T12:37:00
100,101,29,1,2,2021-07-26T07:55:00
101,102,587,78,88,2021-12-07T09:07:00
102,103,36,5,2,2020-06-23T15:40:00
103,104,348,17,6,2021-08-20T16:15:00
104,105,93,5,7,2021-11-04T20:24:00
105,106,202,11,4,2021-08-25T10:35:00
106,107,32,4,24,2021-01-16T03:23:00
107,108,146,12,20,2021-12-02T09:38:00
108,109,96,5,12,2021-12-05T08:22:00
109,110,57,4,12,2020-04-12T02:17:00
110,111,57,4,12,2020-04-12T02:17:00
111,112,32,4,24,2021-01-16T03:23:00
112,113,587,78,88,2021-12-07T09:07:00
113,114,35,3,2,2020-06-15T16:58:00
114,115,146,12,20,2021-12-02T09:38:00
115,116,111,7,25,2021-09-06T07:56:00
116,117,43,4,10,2021-10-16T15:58:00
117,118,61,18,3,2021-11-22T14:11:00
118,119,34,15,7,2021-05-28T13:29:00
119,120,348,17,6,2021-08-20T16:15:00
120,121,60,3,14,2021-08-18T08:32:00
121,122,348,17,6,2021-08-20T16:15:00
122,123,60,20,28,2021-11-17T11:04:00
123,124,32,4,24,2021-01-16T03:23:00
124,125,23,1,5,2021-05-06T02:47:00
125,126,49,14,9,2021-05-28T13:29:00
126,127,12,0,2,2020-01-27T16:15:00
127,128,61,18,3,2021-11-22T14:11:00
128,129,57,4,12,2020-04-12T02:17:00
129,130,51,15,34,2021-09-30T14:52:00
130,131,21,4,11,2021-01-26T21:21:00
131,132,426,18,4,2021-07-11T15:25:00
132,133,20,4,6,2021-09-16T20:20:00
133,134,57,4,12,2020-04-12T02:17:00
134,135,220,33,32,2021-11-27T13:06:00
135,136,62,8,8,2021-04-28T13:54:00
136,137,81,18,29,2021-05-28T03:55:00
137,138,34,15,7,2021-05-28T13:29:00
138,139,162,5,24,2021-06-30T17:01:00
139,140,16,1,2,2020-04-09T03:09:00
140,141,57,4,12,2020-04-12T02:17:00
141,142,23,1,5,2021-05-06T02:47:00
142,143,426,18,4,2021-07-11T15:25:00
143,144,386,5,7,2021-10-29T17:32:00
144,145,229,18,8,2021-08-14T09:15:00
145,146,6,89,7,None
146,147,34,15,7,2021-05-28T13:29:00
147,148,32,4,24,2021-01-16T03:23:00
148,149,6,89,7,None
149,150,34,15,7,2021-05-28T13:29:00
150,151,57,4,12,2020-04-12T02:17:00
151,152,45,10,14,2020-05-20T12:19:00
152,153,116,10,21,2021-09-23T16:16:00
153,154,105,152,24,None
154,155,34,15,7,2021-05-28T13:29:00
155,156,34,15,7,2021-05-28T13:29:00
156,157,6,89,7,None
157,158,34,15,7,2021-05-28T13:29:00
158,159,61,18,3,2021-11-22T14:11:00
159,160,49,14,9,2021-05-28T13:29:00
160,161,4,104,7,None
161,162,34,15,7,2021-05-28T13:29:00
162,163,426,18,4,2021-07-11T15:25:00
163,164,21,4,11,2021-01-26T21:21:00
164,165,32,4,24,2021-01-16T03:23:00
165,166,34,15,7,2021-05-28T13:29:00
166,167,162,5,24,2021-06-30T17:01:00
167,168,91,1,2,2017-10-12T11:45:00
168,169,16,1,2,2020-04-09T03:09:00
169,170,61,18,3,2021-11-22T14:11:00
170,171,81,18,29,2021-05-28T03:55:00
171,172,229,18,8,2021-08-14T09:15:00
172,173,77,12,32,2021-09-09T06:29:00
173,174,4,104,7,None
174,175,57,4,12,2020-04-12T02:17:00
175,176,45,10,14,2020-05-20T12:19:00
176,177,33,1,2,2021-12-01T15:01:00
177,178,587,78,88,2021-12-07T09:07:00
178,179,62,0,2,2020-05-18T18:56:00
179,180,220,33,32,2021-11-27T13:06:00
180,181,31,0,2,2018-01-30T19:59:00
181,182,587,78,88,2021-12-07T09:07:00
182,183,35,9,11,2021-10-14T05:43:00
183,184,8,0,2,2013-07-24T09:35:00
184,185,26,4,13,2021-07-25T12:59:00
185,186,587,78,88,2021-12-07T09:07:00
186,187,33,1,2,2017-06-22T11:11:00
187,188,43,4,10,2021-10-16T15:58:00
188,189,6,89,7,None
189,190,34,15,7,2021-05-28T13:29:00
190,191,23,1,5,2021-05-06T02:47:00
191,192,61,18,3,2021-11-22T14:11:00
192,193,21,4,11,2021-01-26T21:21:00
193,194,49,14,9,2021-05-28T13:29:00
194,195,26,4,13,2021-07-25T12:59:00
195,196,4,104,7,None
196,197,57,4,12,2020-04-12T02:17:00
197,198,146,12,20,2021-12-02T09:38:00
198,199,81,18,29,2021-05-28T03:55:00
199,200,65,21,29,2021-09-07T18:33:00
